voornaam,achternaam,school,functie
Noah,Peeters,SRS,Student
Daan,Janssens,SMM,Student
Lucas,Maes,SFE,Employee
Levi,Jacobs,SFEM,Student
Sem,Mertens,IBS,Student
Finn,Willems,SRS,Student
Liam,Claes,SMM,Student
James,Goossens,SFE,Employee
Milan,Wouters,SFEM,Student
Luuk,De Smet,IBS,Student
Bram,Vermeulen,SRS,Employee
Noud,Pauwels,SMM,Student
Sam,Dubois,SFE,Student
Mees,Hermans,SFEM,Student
Jesse,Aerts,IBS,Student
Adam,Michiels,SRS,Employee
Max,Lambert,SMM,Student
Thomas,Martens,SFE,Student
Benjamin,De Vos,SFEM,Employee
Boaz,Smets,IBS,Student
Julian,Claeys,SRS,Student
Mason,Dupont,SMM,Student
Siem,Desmet,SFE,Student
Luca,De Clercq,SFEM,Employee
Lars,Van Damme,IBS,Student
Gijs,Hendrickx,SRS,Student
Mats,Janssen,SMM,Employee
Hugo,Stevens,SFE,Student
Teun,Devos,SFEM,Student
David,De Backer,IBS,Student
Jack,Martin,SRS,Student
Stijn,Lemmens,SMM,Employee
Thijs,Segers,SFE,Student
Guus,Van de Velde,SFEM,Student
Olivier,Coppens,IBS,Employee
Ruben,Simon,SRS,Student
Dex,Dumont,SMM,Student
Vince,Leroy,SFE,Student
Jens,Van den Broeck,SFEM,Student
Jan,Wauters,IBS,Employee
Joep,FranÇõois,SRS,Student
Ties,Verhoeven,SFE,Employee
Cas,Diallo,SFEM,Student
Morris,Leclercq,IBS,Student
Sven,Cools,SRS,Student
Jayden,Laurent,SMM,Student
Abel,De Smedt,SFE,Employee
Floris,Declercq,SFEM,Student
Tobias,Denis,IBS,Student
Ryan,Smet,SRS,Employee
Owen,Thys,SMM,Student
Tom,Renard,SFE,Student
Fedde,Thomas,SFEM,Student
Otis,Verstraete,IBS,Student
Jaxx,Timmermans,SRS,Employee
Willem,Baert,SMM,Student
Tim,De Meyer,SFE,Student
Tijn,Lejeune,SFEM,Employee
Jax,De Wilde,IBS,Student
Jace,Vandenberghe,SRS,Student
Pim,De Ridder,SMM,Student
Quinn,Lenaerts,SFE,Student
Pepijn,De Pauw,SFEM,Employee
Jason,Verheyen,IBS,Student
Senn,Lauwers,SRS,Student
Jurre,Lambrechts,SFE,Student
Xavi,Petit,SFEM,Student
Amir,Geerts,IBS,Student
Zayn,Lemaire,SRS,Student
Samuel,Bogaert,SMM,Employee
Hidde,Mathieu,SFE,Student
Mohamed,Verbeke,SFEM,Student
Alexander,Cornelis,IBS,Employee
Oliver,Bauwens,SRS,Student
Nathan,Christiaens,SMM,Student
Dani,Moens,SFE,Student
Mohammed,Charlier,SFEM,Student
Mick,Bosmans,IBS,Employee
Roan,Vermeiren,SRS,Student
Kai,Verlinden,SMM,Student
Stan,Michel,SFE,Employee
Jake,Wuyts,SFEM,Student
Tygo,Verschueren,IBS,Student
Lenn,Bertrand,SRS,Student
Niek,Jansen,SMM,Student
Dean,Van Dyck,SFE,Employee
Joshua,Deprez,SFEM,Student
Rayan,Fontaine,SRS,Employee
Pieter,Carlier,SMM,Student
Sepp,Bogaerts,SFE,Student
Duuk,Vermeersch,SFEM,Student
Casper,Verstraeten,IBS,Student
Oscar,Simons,SRS,Employee
Ezra,Adam,SMM,Student
Elias,Beckers,SFE,Student
Job,Verhaeghe,SFEM,Employee
Felix,Claessens,IBS,Student
Moos,Evrard,SRS,Student
Sep,Heylen,SMM,Student
Kyan,Pieters,SFE,Student
Simon,Goethals,SFEM,Employee
Dylan,Bernard,IBS,Student
Lev,De Groote,SRS,Student
Logan,Van den Bossche,SMM,Employee
Loek,Lefebvre,SFE,Student
Aaron,Lievens,SFEM,Student
Jip,Marchal,IBS,Student
Joris,Legrand,SRS,Student
Jelle,Thijs,SMM,Employee
Johannes,Ceulemans,SFE,Student
Kaj,Vandamme,SFEM,Student
Stef,Mahieu,IBS,Employee
Elijah,Van Hecke,SRS,Student
Jim,Callens,SMM,Student
Alex,Robert,SFE,Student
Jacob,Verhaegen,SFEM,Student
Melle,Dierckx,IBS,Employee
Jelte,Collard,SRS,Student
Jonah,Van Acker,SFE,Employee
Emir,De Coster,SFEM,Student
Aron,Moreau,IBS,Student
Arthur,Roels,SRS,Student
Damian,Delvaux,SMM,Student
Thijmen,Verhelst,SFE,Employee
Lex,Nijs,SFEM,Student
Sef,Raes,IBS,Student
Hendrik,Gielen,SRS,Employee
Ravi,De Coninck,SMM,Student
Ali,Van Hoof,SFE,Student
Jonas,Vercammen,SFEM,Student
Jonathan,Nys,IBS,Student
Lukas,Verbruggen,SRS,Employee
Bas,Thiry,SMM,Student
Cornelis,Cuypers,SFE,Student
Nolan,Vandevelde,SFEM,Employee
Robin,Luyten,IBS,Student
Daley,Vervoort,SRS,Student
Hamza,Somers,SMM,Student
Kay,Vanneste,SFE,Student
Mayson,Vercruysse,SFEM,Employee
Rens,Parmentier,IBS,Student
Beau,Yilmaz,SRS,Student
Julius,Verdonck,SMM,Employee
Koen,Daems,SFE,Student
Omar,De Winter,SFEM,Student
Seth,Van Hove,IBS,Student
Jasper,AndrÇ¸,SRS,Student
Joas,Andries,SMM,Employee
Leon,De Witte,SFE,Student
Wout,Mortier,SFEM,Student
Lewis,Vercauteren,IBS,Employee
Milo,De Bruyne,SRS,Student
Philip,Swinnen,SMM,Student
Niels,Jacques,SFE,Student
Imran,De Bruyn,IBS,Employee
Luc,Singh,SRS,Student
Muhammed,Huysmans,SMM,Student
Nick,Henry,SFE,Employee
Fabian,Smeets,SFEM,Student
Jamie,Verhulst,IBS,Student
Daniel,Vandewalle,SRS,Student
Mace,Herman,SMM,Student
Riley,Bah,SFE,Employee
Faas,De Wolf,SFEM,Student
Lasse,Declerck,IBS,Student
Matthijs,Leemans,SRS,Employee
Micha,Claus,SMM,Student
Vik,Bastin,SFE,Student
Timo,De Decker,SFEM,Student
Yusuf,Verbeeck,IBS,Student
Filip,Baeyens,SRS,Employee
Raf,Vanhove,SMM,Student
Vic,Rousseau,SFE,Student
Youssef,LÇ¸onard,SFEM,Employee
Florian,Louis,IBS,Student
Jayson,Dewulf,SRS,Student
Louis,Gillet,SMM,Student
Victor,Guillaume,SFE,Student
Vigo,Vos,SFEM,Employee
Ibrahim,Servais,IBS,Student
Maxim,Deckers,SRS,Student
Mike,De Waele,SMM,Employee
Jort,Van Daele,SFE,Student
Ilyas,De Boeck,SFEM,Student
Ian,Smits,IBS,Student
Kian,Geens,SRS,Student
Mika,Vanhoutte,SMM,Employee
Jari,De Clerck,SFE,Student
Ben,Descamps,SFEM,Student
Evan,Meert,IBS,Employee
Gerrit,David,SRS,Student
Joah,Hubert,SMM,Student
Luka,Dierickx,SFE,Student
Laurens,Jans,SFEM,Student
Ayden,De Keyser,IBS,Employee
Jay,Verheyden,SRS,Student
Joey,Van Goethem,SMM,Student
Justin,Huybrechts,SFE,Employee
Lux,Coenen,SFEM,Student
Mateo,Van den Bergh,IBS,Student
Quinten,Moons,SRS,Student
Chris,Goffin,SMM,Student
Matteo,Toussaint,SFE,Employee
Jayce,Lebrun,SFEM,Student
Kees,Engelen,IBS,Student
Jules,Collin,SRS,Employee
Eymen,Van den Eynde,SMM,Student
Valentijn,Meeus,SFE,Student
Amin,Vandeputte,SFEM,Student
Charlie,Antoine,IBS,Student
Miran,Goris,SRS,Employee
Sil,Sterckx,SMM,Student
Zayd,De Wit,SFE,Student
Brent,Maertens,SFEM,Employee
Luke,Vandenbussche,IBS,Student
Raff,Vandendriessche,SRS,Student
Scott,Schepers,SMM,Student
Jesper,Peters,SFE,Student
Manuel,Engels,SFEM,Employee
Odin,Reynders,IBS,Student
Twan,Houben,SRS,Student
Vinz,Lecomte,SMM,Employee
Ivan,Vandenbroucke,SFE,Student
Jordan,Bekaert,SFEM,Student
Bobby,Dhondt,IBS,Student
Eden,Temmerman,SRS,Student
Bodhi,Vaes,SMM,Employee
Dirk,Eeckhout,SFE,Student
Jop,Cornet,SMM,Employee
Kasper,Vermeire,SFE,Student
Sami,Luyckx,SFEM,Student
Aras,Remy,IBS,Student
Naud,Schmitz,SRS,Student
Rafael,Dujardin,SFE,Student
Leo,Michaux,SFEM,Student
Mark,Huyghe,IBS,Employee
Pelle,MarÇ¸chal,SRS,Student
Gabriel,Libert,SMM,Student
Sten,Joris,SFE,Student
Boas,Boonen,SFEM,Student
Mert,Poncelet,IBS,Employee
Ferre,Van Camp,SRS,Student
Nouri,Vandaele,SMM,Student
Collin,Nuyts,SFEM,Student
Jaivey,De Schepper,IBS,Student
Riff,Cuvelier,SRS,Student
Julan,Heymans,SMM,Student
Mohammad,Dewaele,SFE,Employee
Olaf,Debruyne,SFEM,Student
Senna,De Moor,IBS,Student
Bob,Van den Brande,SRS,Employee
Mart,Decock,SMM,Student
Novan,Decoster,SFE,Student
Thijn,Bracke,SFEM,Student
Donny,Lacroix,IBS,Student
Lennon,LefÇùvre,SRS,Employee
Mik,Van den Berghe,SMM,Student
Sverre,Bollen,SFE,Student
Vincent,Massart,SFEM,Employee
Zakaria,De Greef,IBS,Student
Colin,Callewaert,SRS,Student
Damin,Van Looy,SMM,Student
Antoni,De Paepe,SFE,Student
Dave,Boone,SFEM,Employee
Juda,Gilson,IBS,Student
Matthias,Blomme,SRS,Student
Tijs,Ooms,SMM,Employee
Huub,Baeten,SFE,Student
Ivar,Helsen,SFEM,Student
Lennox,Moerman,IBS,Student
Muhammad,Meunier,SRS,Student
Rein,De Jonghe,SMM,Employee
Shane,Desmedt,SFE,Student
Eli,Everaert,SFEM,Student
Ivo,Piette,IBS,Employee
Marcel,Van Belle,SRS,Student
Maurits,Barry,SMM,Student
Revi,Driesen,SFE,Student
Rowan,Schepens,SFEM,Student
Yassin,Torfs,IBS,Employee
Berend,Vincent,SRS,Student
Boet,Van Driessche,SMM,Student
Douwe,Bonte,SFE,Employee
Fos,De Laet,SFEM,Student
Midas,Vranken,SRS,Student
Safouan,Van Roy,SMM,Student
Sebastiaan,Leys,SFE,Employee
Ted,Van Herck,SFEM,Student
Xavier,Vanderstraeten,IBS,Student
